Provinsi,Income_ind,Income_hh,Happiness
Di Yogyakarta,5,5,6
Di Yogyakarta,5,5,8
Di Yogyakarta,5,5,7
Di Yogyakarta,NA,5,6
Di Yogyakarta,5,3,6
Di Yogyakarta,4,4,6
Di Yogyakarta,1,2,9
Di Yogyakarta,3,1,8
Di Yogyakarta,4,1,5
Di Yogyakarta,5,1,8
Di Yogyakarta,5,5,6
Di Yogyakarta,5,5,6
Di Yogyakarta,5,5,7
Di Yogyakarta,5,5,7
Di Yogyakarta,NA,5,6
Di Yogyakarta,5,5,6
Di Yogyakarta,5,4,7
Di Yogyakarta,5,4,6
Di Yogyakarta,5,5,6
Di Yogyakarta,5,5,7
Di Yogyakarta,NA,5,10
Di Yogyakarta,5,4,3
Di Yogyakarta,NA,4,8
Di Yogyakarta,2,3,8
Di Yogyakarta,3,3,8
Di Yogyakarta,NA,4,7
Di Yogyakarta,NA,4,3
Di Yogyakarta,4,3,8
Di Yogyakarta,5,4,2
Di Yogyakarta,5,3,7
Di Yogyakarta,3,2,7
Di Yogyakarta,5,4,8
Di Yogyakarta,NA,4,7
Di Yogyakarta,2,1,7
Di Yogyakarta,5,4,8
Di Yogyakarta,3,4,8
Di Yogyakarta,4,2,7
Di Yogyakarta,4,3,8
Di Yogyakarta,NA,1,7
Di Yogyakarta,5,3,8
Di Yogyakarta,NA,5,7
Di Yogyakarta,NA,5,10
Di Yogyakarta,4,4,8
Di Yogyakarta,3,4,10
Di Yogyakarta,3,3,5
Di Yogyakarta,3,4,10
Di Yogyakarta,NA,4,9
Di Yogyakarta,5,5,8
Di Yogyakarta,NA,1,9
Di Yogyakarta,NA,5,8
Di Yogyakarta,5,5,7
Di Yogyakarta,NA,5,9
Di Yogyakarta,5,5,9
Di Yogyakarta,3,5,8
Di Yogyakarta,5,5,9
Di Yogyakarta,3,4,8
Di Yogyakarta,NA,4,9
Di Yogyakarta,4,5,8
Di Yogyakarta,3,4,10
Di Yogyakarta,1,1,8
Di Yogyakarta,NA,5,5
Di Yogyakarta,5,5,5
Di Yogyakarta,5,5,4
Di Yogyakarta,5,3,5
Di Yogyakarta,5,5,6
Di Yogyakarta,NA,5,7
Di Yogyakarta,5,5,6
Di Yogyakarta,5,4,5
Di Yogyakarta,3,1,6
Di Yogyakarta,2,2,5
Di Yogyakarta,NA,3,7
Di Yogyakarta,5,5,7
Di Yogyakarta,NA,4,7
Di Yogyakarta,3,4,8
Di Yogyakarta,5,4,8
Di Yogyakarta,NA,5,8
Di Yogyakarta,5,4,7
Di Yogyakarta,2,2,9
Di Yogyakarta,5,5,8
Di Yogyakarta,4,5,8
Di Yogyakarta,5,5,8
Di Yogyakarta,3,4,8
Di Yogyakarta,5,5,8
Di Yogyakarta,5,3,8
Di Yogyakarta,5,5,8
Di Yogyakarta,5,4,7
Di Yogyakarta,5,5,8
Di Yogyakarta,5,1,9
Di Yogyakarta,5,4,6
Di Yogyakarta,5,5,4
Di Yogyakarta,NA,5,7
Di Yogyakarta,5,1,7
Di Yogyakarta,5,5,5
Di Yogyakarta,5,5,9
Di Yogyakarta,5,5,7
Di Yogyakarta,4,4,8
Di Yogyakarta,4,5,8
Di Yogyakarta,3,4,8
Di Yogyakarta,3,4,8
Di Yogyakarta,5,5,7
Di Yogyakarta,5,5,7
Di Yogyakarta,4,4,9
Di Yogyakarta,5,5,8
Di Yogyakarta,3,4,7
Di Yogyakarta,NA,5,4
Di Yogyakarta,4,5,8
Di Yogyakarta,5,5,4
Di Yogyakarta,2,3,6
Di Yogyakarta,4,5,7
Di Yogyakarta,5,5,4
Di Yogyakarta,5,3,4
Di Yogyakarta,NA,5,4
Di Yogyakarta,5,5,4
Di Yogyakarta,5,5,5
Di Yogyakarta,5,3,4
Di Yogyakarta,5,4,5
Di Yogyakarta,3,4,4
Di Yogyakarta,5,5,6
Di Yogyakarta,5,4,6
Di Yogyakarta,4,5,4
Di Yogyakarta,NA,5,7
Di Yogyakarta,5,5,7
Di Yogyakarta,5,5,8
Di Yogyakarta,5,5,7
Di Yogyakarta,3,4,8
Di Yogyakarta,4,4,7
Di Yogyakarta,5,5,6
Di Yogyakarta,NA,5,8
Di Yogyakarta,5,4,7
Di Yogyakarta,5,5,8
Di Yogyakarta,NA,5,9
Di Yogyakarta,NA,5,8
Di Yogyakarta,NA,5,7
Di Yogyakarta,2,3,8
Di Yogyakarta,5,5,8
Di Yogyakarta,NA,3,9
Di Yogyakarta,5,5,8
Di Yogyakarta,4,4,7
Di Yogyakarta,1,2,8
Di Yogyakarta,NA,3,6
Di Yogyakarta,2,3,6
Di Yogyakarta,4,5,7
Di Yogyakarta,5,5,7
Di Yogyakarta,NA,5,8
Di Yogyakarta,5,4,7
Di Yogyakarta,3,4,10
Di Yogyakarta,4,5,7
Di Yogyakarta,5,5,7
Di Yogyakarta,2,3,7
Di Yogyakarta,3,4,5
Di Yogyakarta,5,5,7
Di Yogyakarta,5,5,7
Di Yogyakarta,NA,5,8
Di Yogyakarta,NA,5,6
Di Yogyakarta,5,5,8
Di Yogyakarta,NA,3,9
Di Yogyakarta,NA,5,7
Di Yogyakarta,NA,5,9
Di Yogyakarta,4,5,9
Di Yogyakarta,4,5,5
Di Yogyakarta,5,5,10
Di Yogyakarta,5,5,10
Di Yogyakarta,5,5,10
Di Yogyakarta,5,5,9
Di Yogyakarta,NA,5,10
Di Yogyakarta,NA,5,8
Di Yogyakarta,3,2,9
Di Yogyakarta,5,5,9
Di Yogyakarta,5,5,9
Di Yogyakarta,NA,3,10
Di Yogyakarta,4,4,9
Di Yogyakarta,5,5,10
Di Yogyakarta,5,5,10
Di Yogyakarta,5,5,7
Di Yogyakarta,4,3,8
Di Yogyakarta,4,4,10
Di Yogyakarta,5,4,5
Di Yogyakarta,NA,3,8
Di Yogyakarta,4,5,7
Di Yogyakarta,NA,5,8
Di Yogyakarta,5,4,7
Di Yogyakarta,5,5,6
Di Yogyakarta,5,5,6
Di Yogyakarta,5,5,7
Di Yogyakarta,NA,5,7
Di Yogyakarta,4,4,8
Di Yogyakarta,3,4,8
Di Yogyakarta,NA,3,8
Di Yogyakarta,4,5,7
Di Yogyakarta,4,5,8
Di Yogyakarta,NA,4,4
Di Yogyakarta,NA,5,6
Di Yogyakarta,4,5,7
Di Yogyakarta,5,5,9
Di Yogyakarta,4,5,8
Di Yogyakarta,3,3,7
Di Yogyakarta,5,5,7
Di Yogyakarta,NA,4,6
Di Yogyakarta,3,3,8
Di Yogyakarta,NA,5,9
Di Yogyakarta,NA,4,7
Di Yogyakarta,2,3,7
Di Yogyakarta,NA,3,9
Di Yogyakarta,3,2,8
Di Yogyakarta,3,3,7
Di Yogyakarta,1,1,9
Di Yogyakarta,2,2,8
Di Yogyakarta,NA,2,8
Di Yogyakarta,NA,3,8
Di Yogyakarta,NA,3,9
Di Yogyakarta,5,3,7
Di Yogyakarta,3,3,7
Di Yogyakarta,5,5,7
Di Yogyakarta,3,3,7
Di Yogyakarta,4,3,6
Di Yogyakarta,NA,4,9
Di Yogyakarta,3,4,8
Di Yogyakarta,NA,5,8
Di Yogyakarta,5,4,7
Di Yogyakarta,1,1,7
Di Yogyakarta,5,5,8
Di Yogyakarta,5,4,8
Di Yogyakarta,5,4,9
Di Yogyakarta,2,4,8
Di Yogyakarta,3,4,9
Di Yogyakarta,3,4,9
Di Yogyakarta,5,4,7
Di Yogyakarta,4,4,8
Di Yogyakarta,2,2,8
Di Yogyakarta,5,5,6
Di Yogyakarta,NA,5,6
Di Yogyakarta,5,5,8
Di Yogyakarta,NA,4,9
Di Yogyakarta,5,5,9
Di Yogyakarta,3,4,9
Di Yogyakarta,NA,4,10
Di Yogyakarta,3,4,10
Di Yogyakarta,3,4,8
Di Yogyakarta,5,5,9
Di Yogyakarta,2,2,9
Di Yogyakarta,4,4,8
Di Yogyakarta,4,5,7
Di Yogyakarta,5,5,6
Di Yogyakarta,5,5,6
Di Yogyakarta,4,4,9
Di Yogyakarta,5,4,9
Di Yogyakarta,3,3,8
Di Yogyakarta,5,5,5
Di Yogyakarta,4,4,9
Di Yogyakarta,5,4,9
Di Yogyakarta,3,3,7
Di Yogyakarta,4,4,6
Di Yogyakarta,4,4,3
Di Yogyakarta,NA,4,5
Di Yogyakarta,5,5,5
Di Yogyakarta,3,3,8
Di Yogyakarta,3,4,6
Di Yogyakarta,5,4,6
Di Yogyakarta,3,4,6
Di Yogyakarta,2,2,9
Di Yogyakarta,NA,4,8
Di Yogyakarta,NA,3,8
Di Yogyakarta,5,5,7
Di Yogyakarta,5,4,5
Di Yogyakarta,5,5,5
Di Yogyakarta,5,5,6
Di Yogyakarta,NA,5,7
Di Yogyakarta,3,4,9
Di Yogyakarta,3,3,9
Di Yogyakarta,4,3,8
Di Yogyakarta,NA,4,8
Di Yogyakarta,NA,5,7
Di Yogyakarta,5,5,6
Di Yogyakarta,5,5,7
Di Yogyakarta,NA,5,7
Di Yogyakarta,4,5,7
Di Yogyakarta,4,4,8
Di Yogyakarta,1,2,7
Di Yogyakarta,3,3,9
Di Yogyakarta,5,5,7
Di Yogyakarta,5,5,8
Di Yogyakarta,4,5,8
Di Yogyakarta,4,2,10
Di Yogyakarta,3,4,8
Di Yogyakarta,NA,1,10
Di Yogyakarta,NA,4,7
Di Yogyakarta,3,4,8
Di Yogyakarta,NA,5,10
Di Yogyakarta,2,2,9
Di Yogyakarta,5,5,8
Di Yogyakarta,4,4,7
Di Yogyakarta,5,5,9
Di Yogyakarta,2,2,9
Di Yogyakarta,4,4,8
Di Yogyakarta,5,3,8
Di Yogyakarta,3,4,8
Di Yogyakarta,NA,5,5
Di Yogyakarta,NA,5,8
Di Yogyakarta,NA,5,7
Di Yogyakarta,1,1,8
Di Yogyakarta,3,2,7
Di Yogyakarta,5,5,9
Di Yogyakarta,4,3,7
Di Yogyakarta,1,1,7
Di Yogyakarta,1,1,7
Di Yogyakarta,1,1,7
Di Yogyakarta,2,2,7
Di Yogyakarta,3,4,10
Di Yogyakarta,NA,4,8
Di Yogyakarta,NA,1,7
Di Yogyakarta,1,3,8
Di Yogyakarta,1,3,7
Di Yogyakarta,2,4,6
Di Yogyakarta,NA,2,7
Di Yogyakarta,NA,1,8
Di Yogyakarta,5,4,7
Di Yogyakarta,2,1,8
Di Yogyakarta,NA,3,7
Di Yogyakarta,1,1,8
Di Yogyakarta,5,3,7
Di Yogyakarta,3,3,8
Di Yogyakarta,3,4,7
Di Yogyakarta,NA,1,9
Di Yogyakarta,NA,4,9
Di Yogyakarta,2,3,7
Di Yogyakarta,1,2,8
Di Yogyakarta,2,3,8
Di Yogyakarta,NA,4,8
Di Yogyakarta,1,2,9
Di Yogyakarta,1,1,9
Di Yogyakarta,4,3,8
Di Yogyakarta,5,4,8
Di Yogyakarta,3,2,8
Di Yogyakarta,1,2,8
Di Yogyakarta,NA,5,7
Di Yogyakarta,5,4,8
Di Yogyakarta,1,2,8
Di Yogyakarta,3,4,6
Di Yogyakarta,NA,5,7
Di Yogyakarta,5,5,7
Di Yogyakarta,4,4,6
Di Yogyakarta,4,4,6
Di Yogyakarta,NA,3,8
Di Yogyakarta,5,5,6
Di Yogyakarta,NA,3,6
Di Yogyakarta,3,4,8
Di Yogyakarta,5,5,7
Di Yogyakarta,5,4,7
Di Yogyakarta,3,3,7
Di Yogyakarta,5,5,4
Di Yogyakarta,5,4,7
Di Yogyakarta,3,4,9
Di Yogyakarta,2,3,9
Di Yogyakarta,4,4,7
Di Yogyakarta,3,4,7
Di Yogyakarta,1,1,9
Di Yogyakarta,5,5,7
Di Yogyakarta,5,5,3
Di Yogyakarta,5,5,5
Di Yogyakarta,5,5,3
Di Yogyakarta,5,3,5
Di Yogyakarta,5,4,3
Di Yogyakarta,5,5,4
Di Yogyakarta,5,4,7
Di Yogyakarta,NA,5,3
Di Yogyakarta,5,4,3
Di Yogyakarta,5,4,4
Di Yogyakarta,5,5,10
Di Yogyakarta,4,4,5
Di Yogyakarta,5,4,8
Di Yogyakarta,5,5,8
Di Yogyakarta,5,5,9
Di Yogyakarta,5,5,10
Di Yogyakarta,4,4,9
Di Yogyakarta,5,4,9
Di Yogyakarta,2,3,9
Di Yogyakarta,3,4,9
Di Yogyakarta,5,5,8
Di Yogyakarta,5,5,7
Di Yogyakarta,4,4,8
Di Yogyakarta,5,4,7
Di Yogyakarta,5,4,7
Di Yogyakarta,5,5,8
Di Yogyakarta,4,4,7
Di Yogyakarta,4,4,9
Di Yogyakarta,NA,4,9
Di Yogyakarta,5,5,8
Di Yogyakarta,NA,5,8
Di Yogyakarta,5,4,8
Di Yogyakarta,5,4,8
Di Yogyakarta,5,4,8
Di Yogyakarta,5,5,8
Di Yogyakarta,5,4,9
Di Yogyakarta,4,4,8
Di Yogyakarta,5,4,7
Di Yogyakarta,5,4,8
Di Yogyakarta,5,4,7
Di Yogyakarta,5,5,4
Di Yogyakarta,4,5,7
Di Yogyakarta,4,5,7
Di Yogyakarta,3,4,9
Di Yogyakarta,4,4,9
Di Yogyakarta,5,4,9
Di Yogyakarta,5,5,7
Di Yogyakarta,4,4,8
Di Yogyakarta,4,4,6
Di Yogyakarta,4,5,2
Di Yogyakarta,5,5,8
Di Yogyakarta,5,4,5
Di Yogyakarta,4,4,7
Di Yogyakarta,5,5,6
Di Yogyakarta,5,5,6
Di Yogyakarta,4,4,8
Di Yogyakarta,5,4,8
Di Yogyakarta,5,5,8
Di Yogyakarta,5,4,9
Di Yogyakarta,4,4,7
Di Yogyakarta,5,5,8
Di Yogyakarta,5,5,8
Di Yogyakarta,5,5,8
Di Yogyakarta,5,5,8
Di Yogyakarta,5,5,8
Di Yogyakarta,5,5,8
Di Yogyakarta,5,5,9
Di Yogyakarta,5,5,8
Di Yogyakarta,4,5,8
Di Yogyakarta,5,5,8
Di Yogyakarta,5,5,8
Di Yogyakarta,5,5,9
Di Yogyakarta,5,5,8
Di Yogyakarta,5,5,8
Di Yogyakarta,5,4,8
Di Yogyakarta,4,5,8
Di Yogyakarta,5,5,9
Di Yogyakarta,4,5,8
Di Yogyakarta,5,5,8
Di Yogyakarta,2,4,8
Di Yogyakarta,4,5,9
Di Yogyakarta,3,3,8
Di Yogyakarta,4,5,7
Di Yogyakarta,5,5,8
Di Yogyakarta,5,5,7
Di Yogyakarta,2,2,8
Di Yogyakarta,5,5,9
Di Yogyakarta,4,4,10
Di Yogyakarta,5,5,10
Di Yogyakarta,5,5,5
Di Yogyakarta,5,5,8
Di Yogyakarta,5,4,8
Di Yogyakarta,NA,5,9
Di Yogyakarta,NA,5,4
Di Yogyakarta,5,5,8
Di Yogyakarta,5,5,4
Di Yogyakarta,4,4,6
Di Yogyakarta,3,4,9
Di Yogyakarta,5,5,7
Di Yogyakarta,NA,5,7
